Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
697c7e6d1afa42556399d87f,67d5bc0eb679f324ed49e4c8,APPROVED,Not Applicable,2026-01-30T09:48:31.760000Z,2026-01-30T10:25:58.805000Z,2026-01-30T10:25:59.245000Z,2026-01-30T10:25:59.169585Z,2248.0,CO8XZAGN,771,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
697c7e72e38f8005f4afbacf,5cf9179b8c98dc0001d5a431,APPROVED,Not Applicable,2026-01-30T09:48:34.329000Z,2026-01-30T10:12:08.450000Z,2026-01-30T10:12:11.666000Z,2026-01-30T10:12:08.830435Z,1415.0,CO8XZAGN,2411,32,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time
697c7e73400007b92e671adf,6977d3d3530b93fa2eb232b2,APPROVED,Not Applicable,2026-01-30T09:49:00.319000Z,2026-01-30T10:15:25.345000Z,2026-01-30T10:15:26.934000Z,2026-01-30T10:15:25.778608Z,1586.0,CO8XZAGN,18,31,Male,White,Australia,Australia,Australia,English,No,Full-Time
697c7e749729d22688b095d3,6977a604bcc1ea0e94383df0,APPROVED,Not Applicable,2026-01-30T09:55:53.020000Z,2026-01-30T10:23:52.715000Z,2026-01-30T10:23:55.874000Z,2026-01-30T10:23:53.088692Z,1680.0,CO8XZAGN,3,18,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
697c7e74f86b4760c4f4eb1f,6666f378a32940da4fbfebc8,APPROVED,Not Applicable,2026-01-30T09:53:39.997000Z,2026-01-30T10:35:36.990000Z,2026-01-30T10:35:37.534000Z,2026-01-30T10:35:37.461418Z,2517.0,CO8XZAGN,493,35,Female,Black,Kenya,Kenya,Kenya,Swahili,Yes,Unemployed (and job seeking)
697c7e75dd8bc398bf7cea15,678f621c69647fceb87676a1,APPROVED,Not Applicable,2026-01-30T09:48:44.693000Z,2026-01-30T10:14:19.758000Z,2026-01-30T10:14:20.199000Z,2026-01-30T10:14:20.129513Z,1536.0,CO8XZAGN,2082,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697c7e75f9b08ea74e05c311,68d81c3c92ab53a2166931ac,APPROVED,Not Applicable,2026-01-30T09:50:22.666000Z,2026-01-30T10:20:18.297000Z,2026-01-30T10:20:20.446000Z,2026-01-30T10:20:18.674904Z,1796.0,CO8XZAGN,444,26,Male,Asian,India,India,India,English,No,Full-Time
697c7e76449b4141128f2e99,60633124720a81c0776ca205,APPROVED,Not Applicable,2026-01-30T09:52:32.010000Z,2026-01-30T10:17:32.062000Z,2026-01-30T10:17:32.771000Z,2026-01-30T10:17:32.711738Z,1501.0,CO8XZAGN,364,35,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
697c7e7a8813790e7950c0b7,6439196ac8edf1bbd8c44d13,APPROVED,Not Applicable,2026-01-30T09:49:47.890000Z,2026-01-30T10:16:02.951000Z,2026-01-30T10:16:03.433000Z,2026-01-30T10:16:03.355558Z,1576.0,CO8XZAGN,361,42,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
697c7e7c6b81701825884a9b,6783ebc2e89b75d66d952f41,APPROVED,Not Applicable,2026-01-30T09:48:49.798000Z,2026-01-30T10:20:48.573000Z,2026-01-30T10:20:48.975000Z,2026-01-30T10:20:48.919772Z,1919.0,CO8XZAGN,3085,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697c7e7cc704838308029a06,60e0cf57e08c9f0c2ee1eb2f,APPROVED,Not Applicable,2026-01-30T09:48:49.125000Z,2026-01-30T10:19:25.489000Z,2026-01-30T10:19:25.986000Z,2026-01-30T10:19:25.933607Z,1837.0,CO8XZAGN,1047,46,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
697c7e8223373105cb9cb0f2,6739e4d9335667b4852ccf4e,APPROVED,Not Applicable,2026-01-30T09:48:56.494000Z,2026-01-30T10:40:50.602000Z,2026-01-30T10:40:51.049000Z,2026-01-30T10:40:50.984202Z,3115.0,CO8XZAGN,2702,55,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
697c7e83eded991523333ebd,663636e1e732142a9c211523,APPROVED,Not Applicable,2026-01-30T09:49:35.846000Z,2026-01-30T10:29:58.510000Z,2026-01-30T10:29:58.979000Z,2026-01-30T10:29:58.887070Z,2423.0,CO8XZAGN,897,50,Female,Mixed,South Africa,South Africa,South Africa,English,No,Other
