Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
697c48a85937627ec188bc5b,631610af8e747093cd90e00d,APPROVED,Not Applicable,2026-01-30T05:59:08.551000Z,2026-01-30T07:03:11.019000Z,2026-01-30T07:49:19.738000Z,2026-01-30T07:03:11.386700Z,3843.0,NOCODE,5571,41,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697c48abd197115ffd4edcbe,5b222aff59f9620001c109cb,RETURNED,Not Applicable,,,,2026-01-30T07:36:58.854392Z,,,3608,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697c48ac2e561a158ff6cbb3,68f11a728e512a0d1123876a,APPROVED,Not Applicable,2026-01-30T05:59:17.300000Z,2026-01-30T06:32:07.196000Z,2026-01-30T07:49:19.992000Z,2026-01-30T06:32:07.594873Z,1970.0,CO8XZAGN,375,30,Male,Asian,India,India,India,Hindi,No,Unemployed (and job seeking)
697c48acc0cc3478d6028be0,66b1d733bdd6068a179dfcf8,APPROVED,Not Applicable,2026-01-30T05:59:13.616000Z,2026-01-30T06:27:19.162000Z,2026-01-30T07:49:20.243000Z,2026-01-30T06:27:19.515573Z,1686.0,CO8XZAGN,335,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
697c48ad0964d25275541e52,5f4560c565e28d13e5dd5d56,APPROVED,Not Applicable,2026-01-30T06:01:25.751000Z,2026-01-30T06:33:08.055000Z,2026-01-30T07:49:20.471000Z,2026-01-30T06:33:08.418857Z,1903.0,CO8XZAGN,2130,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
697c48ad35b13bc657e14e83,66a2514e19817652c0fa6674,RETURNED,Not Applicable,2026-01-30T05:59:09.391000Z,,,2026-01-30T07:36:58.854384Z,,,253,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697c48ade2f37a4f6f46b298,667ebb747b43b02dbbd26d47,APPROVED,Not Applicable,2026-01-30T05:59:47.222000Z,2026-01-30T06:23:15.662000Z,2026-01-30T07:49:20.701000Z,2026-01-30T06:23:16.043074Z,1409.0,CO8XZAGN,774,48,Female,Other,South Africa,South Africa,South Africa,English,No,Full-Time
697c48aea286c9405b1461d9,66a7e4edf0099e9c5f43e5e0,APPROVED,Not Applicable,2026-01-30T05:59:30.857000Z,2026-01-30T06:59:25.460000Z,2026-01-30T07:49:20.938000Z,2026-01-30T06:59:25.826579Z,3595.0,CO8XZAGN,241,32,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
697c48afafe7e3ffd13ed505,5d76ac914c93440001c03fd7,APPROVED,Not Applicable,2026-01-30T05:59:21.146000Z,2026-01-30T06:17:55.025000Z,2026-01-30T07:49:21.174000Z,2026-01-30T06:17:55.370173Z,1114.0,CO8XZAGN,4097,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
697c48b00aaac8b8a68507fd,66231fc6e1ecba676935943a,RETURNED,Not Applicable,2026-01-30T05:59:12.330000Z,,,2026-01-30T07:36:58.854864Z,,,6507,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
