Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
697bb5b768b7d0477f009147,62bd2a704c56e669cce7ce56,APPROVED,Not Applicable,2026-01-29T19:32:17.849000Z,2026-01-29T19:44:05.628000Z,2026-01-29T20:50:25.314000Z,2026-01-29T19:44:06.008344Z,708.0,CO8XZAGN,7884,35,Male,White,United States,United States,United States,English,No,Full-Time
697bb5b8dc7f3cca861ffc67,55b2d3f2fdf99b525bc839aa,APPROVED,Not Applicable,2026-01-29T19:32:14.076000Z,2026-01-29T19:48:00.108000Z,2026-01-29T20:50:25.585000Z,2026-01-29T19:48:00.465691Z,947.0,CO8XZAGN,6082,38,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
697bb5bc2aeec2e6a45492be,5d4b085ef76ba3001c7510de,APPROVED,Not Applicable,2026-01-29T19:39:06.438000Z,2026-01-29T19:51:35.799000Z,2026-01-29T20:50:25.827000Z,2026-01-29T19:51:36.177248Z,750.0,CO8XZAGN,2215,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
697bb5c1b04a73d8f227b53b,5e57a0020c3c6a14a1624031,APPROVED,Not Applicable,2026-01-29T19:32:30.675000Z,2026-01-29T19:45:55.853000Z,2026-01-29T20:50:26.091000Z,2026-01-29T19:45:56.273819Z,806.0,CO8XZAGN,2756,33,Male,White,Hungary,Hungary,Hungary,Hungarian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
697bb5c36157208441f17715,5460ef52fdf99b49ea4b5906,APPROVED,Not Applicable,2026-01-29T19:33:28.136000Z,2026-01-29T19:56:16.379000Z,2026-01-29T20:50:26.357000Z,2026-01-29T19:56:16.773077Z,1369.0,CO8XZAGN,3967,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
697bb5c848be676d8722c191,67be4c756ba3a15a47e60356,RETURNED,Not Applicable,2026-01-29T19:43:00.014000Z,,,2026-01-31T03:52:39.922445Z,,,2065,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697bb5cae23807ea24ba0d83,66676f785e7f53d66f599f55,APPROVED,Not Applicable,2026-01-29T19:32:32.586000Z,2026-01-29T20:03:40.923000Z,2026-01-29T20:51:15.858000Z,2026-01-29T20:03:41.310105Z,1869.0,CO8XZAGN,115,47,Female,White,Canada,Canada,Canada,English,No,Part-Time
697bb5cbd19076e92f7eba76,67210cb0062d4e5b844da0fb,APPROVED,Not Applicable,2026-01-29T19:32:36.566000Z,2026-01-29T19:46:43.966000Z,2026-01-29T20:50:26.609000Z,2026-01-29T19:46:44.440602Z,848.0,CO8XZAGN,465,41,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
697bb5e4a14bf189d455a9fd,697277866743129f083701d3,APPROVED,Not Applicable,2026-01-29T19:33:06.001000Z,2026-01-29T19:49:51.141000Z,2026-01-29T20:50:26.852000Z,2026-01-29T19:49:51.513447Z,1006.0,CO8XZAGN,14,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
697bb5e65b141233235b143a,69154a99dc313622b209ac5a,APPROVED,Not Applicable,2026-01-29T19:33:14.021000Z,2026-01-29T19:50:01.884000Z,2026-01-29T20:50:27.104000Z,2026-01-29T19:50:02.256801Z,1008.0,CO8XZAGN,463,35,Male,White,Canada,Canada,Canada,English,No,Full-Time
697bb5e902790e3bf336e9a1,60743460b5afa37bb084dd4b,APPROVED,Not Applicable,2026-01-29T19:33:25.113000Z,2026-01-29T20:00:48.991000Z,2026-01-29T20:51:16.130000Z,2026-01-29T20:00:49.412579Z,1644.0,CO8XZAGN,534,43,Female,White,Poland,Belgium,Belgium,Polish,No,Full-Time
697bb6038841ed471aa770f8,681b781064a5701a5ceee3bc,APPROVED,Not Applicable,2026-01-29T19:33:30.677000Z,2026-01-29T19:46:48.754000Z,2026-01-29T20:50:27.367000Z,2026-01-29T19:46:49.145556Z,799.0,CO8XZAGN,4085,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
697bb631c85ccde08ccac4fa,67f2f64e60aeb0e5b30b9e7a,APPROVED,Not Applicable,2026-01-29T19:42:37.252000Z,2026-01-29T20:01:36.919000Z,2026-01-29T20:50:27.634000Z,2026-01-29T20:01:37.288969Z,1140.0,CO8XZAGN,1492,61,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
697bb6347ca56ebab9f0225d,5f9438d53cc3b123a695b636,APPROVED,Not Applicable,2026-01-29T19:34:14.631000Z,2026-01-29T19:54:42.779000Z,2026-01-29T20:50:27.923000Z,2026-01-29T19:54:43.232308Z,1229.0,CO8XZAGN,1903,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
697bb63a47625ddb99fa0531,596e1cc639e9d00001b7bb84,APPROVED,Not Applicable,2026-01-29T19:34:29.683000Z,2026-01-29T19:53:13.223000Z,2026-01-29T20:50:28.201000Z,2026-01-29T19:53:13.596148Z,1124.0,CO8XZAGN,4609,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
