Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
697c60f459f975f7842e6ccb,67e1a81f94a4e37a7e8e340a,APPROVED,Not Applicable,2026-01-30T07:42:47.632000Z,2026-01-30T08:26:39.360000Z,2026-01-30T08:26:39.887000Z,2026-01-30T08:26:39.815178Z,2632.0,CO8XZAGN,674,32,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
697c60f4ce4e61c43d5e3052,696bcceabdd018a8f5bf3c8e,APPROVED,Not Applicable,2026-01-30T07:42:44.864000Z,2026-01-30T08:11:32.425000Z,2026-01-30T08:11:33.678000Z,2026-01-30T08:11:32.788979Z,1728.0,CO8XZAGN,31,22,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
697c60f5dfa2ee415b76ebd1,5e98ebda7eda83135fb21c30,APPROVED,Not Applicable,2026-01-30T07:42:49.649000Z,2026-01-30T08:08:58.946000Z,2026-01-30T08:09:00.698000Z,2026-01-30T08:08:59.312784Z,1570.0,CO8XZAGN,1030,27,Female,Black,South Africa,South Africa,South Africa,Other,No,Unemployed (and job seeking)
697c60f88e9c4200ca353676,67ae0b7e73edfbb70077bae0,APPROVED,Not Applicable,2026-01-30T07:42:52.309000Z,2026-01-30T08:16:41.255000Z,2026-01-30T08:16:41.696000Z,2026-01-30T08:16:41.618885Z,2029.0,CO8XZAGN,809,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
697c60fa36d915650ad533ed,657239c0cc6f8b01ab068142,APPROVED,Not Applicable,2026-01-30T07:42:56.623000Z,2026-01-30T08:03:22.345000Z,2026-01-30T08:03:22.804000Z,2026-01-30T08:03:22.724638Z,1226.0,CO8XZAGN,527,29,Male,White,United States,Japan,United States,English,No,Full-Time
697c60fa8004176b45d30e72,60fdcb486e092bc7c1d9c748,APPROVED,Not Applicable,2026-01-30T07:43:23.284000Z,2026-01-30T08:12:18.186000Z,2026-01-30T08:12:18.626000Z,2026-01-30T08:12:18.576285Z,1735.0,CO8XZAGN,366,38,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
697c60fb0bc97588c754211b,60ddc62b071a009e0b0c2922,APPROVED,Not Applicable,2026-01-30T07:43:49.659000Z,2026-01-30T08:05:33.948000Z,2026-01-30T08:05:34.447000Z,2026-01-30T08:05:34.382975Z,1305.0,CO8XZAGN,3256,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697c60fb53dc4ecef42458bb,5f086edf1a4e890792a6c0b0,APPROVED,Not Applicable,2026-01-30T07:47:02.341000Z,2026-01-30T08:12:50.190000Z,2026-01-30T08:12:50.622000Z,2026-01-30T08:12:50.574070Z,1548.0,CO8XZAGN,2399,54,Female,White,France,France,France,French,No,DATA_EXPIRED
697c60fb8d16a5f8215753b1,5d83140cc554400001289ff1,APPROVED,Not Applicable,2026-01-30T07:44:22.043000Z,2026-01-30T08:03:15.765000Z,2026-01-30T08:03:16.217000Z,2026-01-30T08:03:16.147080Z,1134.0,CO8XZAGN,3332,24,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
697c60fcbca38a258e117edb,6712a15554066d8a29d40094,APPROVED,Not Applicable,2026-01-30T07:43:01.610000Z,2026-01-30T08:18:48.748000Z,2026-01-30T08:18:50.022000Z,2026-01-30T08:18:49.151353Z,2148.0,CO8XZAGN,457,21,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
697c60fde52eec15e73e4c3c,67f3b2e0f676f1dd97a2403f,APPROVED,Not Applicable,2026-01-30T07:42:57.371000Z,2026-01-30T08:30:10.981000Z,2026-01-30T08:30:11.443000Z,2026-01-30T08:30:11.388377Z,2834.0,CO8XZAGN,1595,22,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
697c60fe4c8ebdbba2e8658d,60f748ead62fb647c1de333b,APPROVED,Not Applicable,2026-01-30T07:43:09.818000Z,2026-01-30T08:05:44.683000Z,2026-01-30T08:05:45.149000Z,2026-01-30T08:05:45.074507Z,1355.0,CO8XZAGN,52,31,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
697c60fe837226ba70cb403c,665adfcc9f26520c4307e228,APPROVED,Not Applicable,2026-01-30T07:42:54.154000Z,2026-01-30T08:09:53.536000Z,2026-01-30T08:09:55.112000Z,2026-01-30T08:09:53.916292Z,1620.0,CO8XZAGN,1802,32,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
697c60ff41417b1cd99dac9b,602c0fc2eff74b4748e9b41e,APPROVED,Not Applicable,2026-01-30T07:42:55.611000Z,2026-01-30T08:34:25.539000Z,2026-01-30T08:34:25.985000Z,2026-01-30T08:34:25.911469Z,3090.0,CO8XZAGN,2673,35,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697c60ff431a50ee2f14684c,5c093a3f600aff0001d7002c,APPROVED,Not Applicable,2026-01-30T07:42:55.240000Z,2026-01-30T08:04:34.351000Z,2026-01-30T08:04:34.810000Z,2026-01-30T08:04:34.741455Z,1300.0,CO8XZAGN,3216,47,Male,Asian,Australia,Australia,Australia,English,No,Full-Time
697c60ff84833e969276ecc1,66bee53cfe67b3e6342cb2ba,APPROVED,Not Applicable,2026-01-30T07:46:12.095000Z,2026-01-30T08:22:40.820000Z,2026-01-30T08:22:41.283000Z,2026-01-30T08:22:41.204386Z,2189.0,CO8XZAGN,939,35,Female,Mixed,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
697c6100620caba9b37f663e,60d1cd727ab62d8f978d8cf7,APPROVED,Not Applicable,2026-01-30T07:43:01.268000Z,2026-01-30T08:09:11.657000Z,2026-01-30T08:09:12.102000Z,2026-01-30T08:09:12.025871Z,1571.0,CO8XZAGN,1503,43,Female,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
697c6103f919bef57f4b3dd8,671ddd063e7c74b377de755a,APPROVED,Not Applicable,2026-01-30T07:42:59.172000Z,2026-01-30T08:26:30.820000Z,2026-01-30T08:26:31.326000Z,2026-01-30T08:26:31.242627Z,2612.0,CO8XZAGN,1136,75,Female,Black,South Africa,South Africa,South Africa,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
